## 行列30-大五碼-常用漢字：
, 火
, 米
,, 炎
,,j, 鶯
,,j, 熒
,,j/ 螢
,,j; 營
,,jb 勞
,,jf 犖
,,jh 瑩
,,jr 塋
,,jv 榮
,,jx 縈
,,mq 燐
,. 敝
,. 敉
,.; 烙
,.ab 煖
,.aq 斃
,.f 弊
,.f 烽
,.j 瞥
,.jd 幣
,.tg 彆
,.u, 鱉
,.zd 烯
,/ 釋
,/l/ 燭
,; 嗚
,;;v 燥
,a 煤
,a/r 煙
,ajk 炳
,alm 煩
,ap. 粳
,b 冷
,bqi 燈
,c 卡
,cl 炒
,d 騎
,e 管
,em, 燦
,en 燜
,epu 爐
,etb 煆
,ev/ 爛
,f;u 糊
,fpz 糢
,g 馳
,gbb 煽
,gf 籽
,h 救
,hf 料
,i 代
,i.n 燧
,i/p 燴
,if 烊
,ir, 糕
,j; 炯
,j; 炤
,jjz 煥
,jk 炊
,jo 焰
,k 歌
,kj 粉
,ku 脊
,l 錄
,lh 灼
,ljn 熄
,ljz 燠
,lp 粕
,lpr 煌
,lpv 爍
,lts 炮
,m 站
,mqn 遴
,mqt 鄰
,mz, 燃
,n 迷
,nac 粽
,nk; 熔
,nt; 糖
,ntc 糠
,o/, 燻
,o;n 糙
,oe 炸
,oqb 燬
,orb 燬
,p 番
,pa. 煬
,paf 焊
,par 糧
,pax 煨
,pqq 焜
,prc 爆
,prk 糞
,py 煜
,pzh 糰
,qp 糟
,qt 炬
,r 灶
,rav 煤
,rk 烘
,rlg 烤
,rrs 燒
,ru 精
,s 鳳
,t 討
,tdu 燼
,tru 燼
,u 許
,ua 粗
,v/ 煉
,x 式
,xlv 爍
,xx. 糝
,y 粒
,y,b 燮
,y; 焙
,y;. 燉
,ykf 粹
,ypx 熾
,ys 炕
,yx 炫
,z 笑
,zae 糯
,zae 燸
,zhm 類
,zkc 燎
. 身
., 狄
.,n 逖
.. 爻
..; 貉
..fj 循
..td 猙
..xk 狐
./ 獨
./bh 爵
./l/ 獨
./xy 玀
.; 各
.;ky 雒
.;u 狷
.a 須
.aad 行
.ae 征
.ags 卮
.alm 須
.alp 貊
.ar 狂
.arn 逛
.atd 衙
.awq 徑
.azb 爰
.b 反
.bjf 辭
.bjs 亂
.bmf 辭
.bms 亂
.bn 返
.c 貓
.c; 咎
.cad 衍
.can 愆
.cj; 躺
.cj; 徜
.d 凶
.da. 微
.da. 徵
.dk 爪
.dks 爬
.ds 兇
.e 刈
.ec 徙
.ee 徘
.esn 遞
.f/n 德
.fh 射
.fj 盾
.fjn 遁
.fkb 獲
.fl 豺
.fn 逢
.fp 貓
.g 浮
.gf 孚
.gfs 乳
.gfu 猛
.gs 犯
.h 冬
.h 彷
.htx 狼
.i 隊
.iad 銜
.if 徉
.ip 猶
.iv 徐
.j 徜
.j; 貂
.jb 受
.jjd 衢
.jmq 舜
.jn. 愛
.js 覓
.k 爪
.k; 咎
.kkc 從
.kke 聳
.kkn 慫
.ktz 猴
.l 狗
.l; 狗
.led 獅
.lh 豹
.lp 徇
.lpn 邈
.lpr 徨
.lps 貌
.m 狽
.mu 猾
.n 逢
.nfh 狩
.nnd 獰
.nrk 獷
.o 舀
.oac 禦
.oaj 御
.of, 鷂
.ofc 禦
.ofj 御
.ofn 遙
.op. 復
.opd 衝
.p 復
.p; 徊
.pah 得
.pax 猥
.pd 狎
.por 猩
.pp 猖
.pr 貍
.pr 狸
.pv 猓
.q 后
.q;; 軀
.qn 逅
.r 隆
.r;x 猿
.rc 徒
.rfh 待
.rrd 街
.ru 猜
.s 乳
.sb 役
.sv 躲
.t 躬
.t;d 衛
.tb 彼
.td 爭
.tf 律
.tg 躬
.tgb 殷
.tge 彿
.tgn 慇
.tx 很
.tx 狠
.txn 懇
.txr 墾
.u 需
.ua 狙
.uzd 衡
.v 采
.v. 彩
.v;m 獺
.vax 弒
.ve 剎
.vhb 殺
.vhd 術
.vhe 剎
.vhx 弒
.vkk 徠
.vpf 釉
.vsb 殺
.w 妥
.w/w 獵
.wpw 獵
.x. 後
.xk 瓜
.xz 奚
.xz; 谿
.xzy 雞
.yk. 狡
.ykh 徬
.ypf 獐
.yr 往
.yx. 徹
.yzh 獄
.z 徹
.zik 獗
.zjd 希
.zkk 狹
.zu 肴
.zu. 徹
/ 四
/ 虫
/, 罵
/. 眾
/.f 蜂
// 漂
/// 蟲
///u 蠱
/; 喜
/;;f 蟬
/;az 蜈
/;gz 蜈
/a 飄
/af; 蛞
/arb 蜓
/axr 蛭
/b 協
/bjf 蛹
/c 票
/cjr 螳
/cn 遝
/d 打
/ee 罪
/epf 罩
/etb 蝦
/f 蚌
/f; 罟
/f; 蛄
/f;u 蝴
/fjs 置
/fpz 蟆
/fua 置
/fzf 蟒
/fzh 蟒
/g 灣
/g, 罵
/g, 螞
/gfu 蜢
/gjf 蝙
/h 守
/hbt 螂
/hf 蚪
/i 意
/i; 蛤
/ib 蛉
/irx 蟻
/iue 蝓
/izs 蜷
/jaa 蠅
/jaq 蠅
/jas 蠅
/jat 蠅
/jpk 螟
/jr; 蜩
/js 蜆
/jzy 蟾
/k 其
/k;s 蛻
/khb 蛉
/kkk 眾
/kx 蚣
/kzs 蜷
/l 戀
/l,n 蟋
/l,p 蟠
/l/ 蜀
/l/k 歜
/lf; 蛞
/lox 蛾
/lpr 蝗
/lrb 蜓
/lve 蜊
/lvf 蝌
/m 買
/m; 蝸
/n 還
/nky 罹
/nms 蜿
/nq 蛇
/oa 蚯
/oe 蚱
/ov 蛛
/oz; 蜘
/p; 蛔
/p;w 螻
/pe 蛐
/pf 蛐
/pl. 蜴
/plk 蠍
/pqx 蟈
/px 螺
/q 虹
/qd 蚵
/qdl 蚜
/qln 還
/qp 蝠
/r 佳
/ra 蚶
/rf, 羈
/rif 睪
/rlh 署
/rlp 署
/rr 蛙
/rrs 蟯
/rsv 蝶
/ru 蜻
/t 統
/tgd 蚓
/u 罷
/ua 蛆
/vo 蜥
/w 按
/w/w 蠟
/wpw 蠟
/x 環
/xkn 邏
/xky 羅
/xuq 罷
/y. 蚊
/y;. 蠔
/ye 罰
/yk. 蛟
/ykh 螃
/ypf 蟑
/yr 蛀
/ys 虻
/yxf 蟀
/zae 蠕
/zfm 蠣
; 口
;, 咪
;,, 啖
;,,b 嘮
;. 史
;./h 嚼
;.; 咯
;.h 咚
;.j. 噯
;.xk 呱
;.zd 唏
;/ky 雖
;/xy 囉
;; 個
;;; 品
;;;v 噪
;;a; 囂
;;am 顎
;;at 鄂
;;d 串
;;dn 患
;;g, 罵
;;pf 單
;;ph 獸
;;px 戰
;;s 咒
;;z. 嚴
;;z; 器
;;zh 哭
;a 貴
;a.h 啄
;a/ 哂
;ad 叮
;adm 噸
;aea 啞
;aee 囁
;aex 戢
;af 吁
;ags 號
;agx 饕
;alx 嘎
;ame 咧
;ap. 哽
;ar 呈
;arn 逞
;art 郢
